date,time,open,high,low,close,volume
2019.09.02,00:00,1.09899,1.09965,1.09579,1.09696,42316
2019.09.03,00:00,1.09658,1.09787,1.09257,1.09733,79803
2019.09.04,00:00,1.09737,1.10383,1.09684,1.10348,62939
2019.09.05,00:00,1.10348,1.10846,1.10167,1.10340,71471
2019.09.06,00:00,1.10340,1.10571,1.10202,1.10245,65458
2019.09.09,00:00,1.10256,1.10680,1.10154,1.10477,48319
2019.09.10,00:00,1.10474,1.10593,1.10304,1.10432,41989
2019.09.11,00:00,1.10430,1.10555,1.09851,1.10102,38930
2019.09.12,00:00,1.10102,1.10870,1.09267,1.10643,66013
2019.09.13,00:00,1.10643,1.11094,1.10553,1.10697,51145
2019.09.16,00:00,1.10720,1.10863,1.09932,1.10003,47575
2019.09.17,00:00,1.09998,1.10745,1.09902,1.10725,50330
2019.09.18,00:00,1.10723,1.10756,1.10136,1.10299,47198
2019.09.19,00:00,1.10298,1.10734,1.10227,1.10408,50700
2019.09.20,00:00,1.10408,1.10675,1.09962,1.10187,48550
2019.09.23,00:00,1.10120,1.10253,1.09660,1.09925,47909
2019.09.24,00:00,1.09927,1.10239,1.09837,1.10193,47238
2019.09.25,00:00,1.10192,1.10228,1.09373,1.09419,50810
2019.09.26,00:00,1.09415,1.09673,1.09087,1.09198,46381
2019.09.27,00:00,1.09201,1.09586,1.09038,1.09411,45322
2019.09.30,00:00,1.09403,1.09476,1.08846,1.08991,40582
2019.10.01,00:00,1.08991,1.09427,1.08790,1.09317,49761
2019.10.02,00:00,1.09311,1.09635,1.09042,1.09590,46807
2019.10.03,00:00,1.09584,1.09992,1.09409,1.09630,52978
2019.10.04,00:00,1.09630,1.09983,1.09569,1.09772,50379
2019.10.07,00:00,1.09790,1.10006,1.09618,1.09704,38536
2019.10.08,00:00,1.09703,1.09959,1.09411,1.09560,50286
2019.10.09,00:00,1.09560,1.09901,1.09514,1.09710,38973
2019.10.10,00:00,1.09704,1.10338,1.09697,1.10050,55426
2019.10.11,00:00,1.10049,1.10627,1.10008,1.10360,61821
2019.10.14,00:00,1.10314,1.10427,1.10126,1.10251,35303
2019.10.15,00:00,1.10252,1.10460,1.09912,1.10320,52741
2019.10.16,00:00,1.10319,1.10854,1.10225,1.10710,55732
2019.10.17,00:00,1.10710,1.11398,1.10650,1.11234,53064
2019.10.18,00:00,1.11236,1.11702,1.11146,1.11689,40254
2019.10.21,00:00,1.11604,1.11793,1.11387,1.11487,36175
2019.10.22,00:00,1.11487,1.11568,1.11176,1.11243,37361
2019.10.23,00:00,1.11242,1.11402,1.11061,1.11297,30632
2019.10.24,00:00,1.11296,1.11626,1.10930,1.11037,41432
2019.10.25,00:00,1.11036,1.11228,1.10729,1.10794,27730
2019.10.28,00:00,1.10788,1.11065,1.10760,1.10994,26754
2019.10.29,00:00,1.10994,1.11184,1.10735,1.11118,30581
2019.10.30,00:00,1.11117,1.11533,1.10800,1.11516,43735
2019.10.31,00:00,1.11516,1.11756,1.11314,1.11514,43509
2019.11.01,00:00,1.11514,1.11718,1.11281,1.11648,35007
2019.11.04,00:00,1.11687,1.11753,1.11247,1.11272,30537
2019.11.05,00:00,1.11269,1.11401,1.10634,1.10742,41380
2019.11.06,00:00,1.10742,1.10927,1.10649,1.10658,31859
2019.11.07,00:00,1.10658,1.10915,1.10361,1.10497,45912
2019.11.08,00:00,1.10492,1.10553,1.10166,1.10189,33030
2019.11.11,00:00,1.10185,1.10430,1.10164,1.10323,23325
